DeviceName,DeploymentStatus,FailureCategory,ESPPhase,PotentialFailureCause,CurrentAppFailureCount,AutopilotLatestEventState,IsInFlightAtSnapshot,SnapshotDate
WIN-DE-1122,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1123,Success,None,Complete,,0,success,false,2026-07-15
WIN-FI-1124,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1125,Success,None,Complete,,0,success,false,2026-07-15
WIN-SE-1126,In progress,None,Device setup,,1,inProgress,true,2026-07-15
WIN-FI-1127,Success,None,Complete,,0,success,false,2026-07-15
WIN-ES-1128,Success,None,Complete,,0,success,false,2026-07-15
WIN-NL-1129,Failed,Driver failure,Account setup,Driver failure,1,failure,false,2026-07-15
WIN-FI-1130,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1131,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1132,In progress,None,Account setup,,1,inProgress,true,2026-07-15
WIN-US-1133,In progress,None,Account setup,,0,inProgress,true,2026-07-15
WIN-US-1134,Success,None,Complete,,0,success,false,2026-07-15
WIN-SE-1135,Success,None,Complete,,0,success,false,2026-07-15
WIN-SE-1136,Failed,ESP timeout,Device setup,ESP timeout,3,failure,false,2026-07-15
WIN-FI-1137,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1138,Failed,App install timeout,Complete,App install timeout,1,failure,false,2026-07-15
WIN-US-1139,Failed,Unknown,Device setup,Unknown,4,failure,false,2026-07-15
WIN-CA-1140,Success,None,Complete,,0,success,false,2026-07-15
WIN-NL-1141,Success,None,Complete,,0,success,false,2026-07-15
WIN-FI-1142,Success,None,Complete,,0,success,false,2026-07-15
WIN-NL-1143,Success,None,Complete,,0,success,false,2026-07-15
WIN-US-1144,Success,None,Complete,,0,success,false,2026-07-15
WIN-FI-1145,Success,None,Complete,,0,success,false,2026-07-15
WIN-SE-1146,Success,None,Complete,,0,success,false,2026-07-15
WIN-ES-1147,Success,None,Complete,,0,success,false,2026-07-15
WIN-CA-1148,Success,None,Complete,,0,success,false,2026-07-15
WIN-ES-1149,In progress,None,Device setup,,2,inProgress,true,2026-07-15
